-6.911  3.2371
-6.754  3.9584
-6.597  4.5207
-6.440  4.8778
-6.283  5.0000
-6.126  4.8772
-5.969  4.5196
-5.812  3.9569
-5.655  3.2352
-5.498  2.4133
-5.341  1.5567
-5.183  0.7316
-5.026 -0.0006
-4.869 -0.5897
-4.712 -1.0003
-4.555 -1.2151
-4.398 -1.2360
-4.241 -1.0834
-4.084 -0.7933
-3.927 -0.4139
-3.770  0.0003
-3.613  0.3938
-3.456  0.7161
-3.299  0.9268
-3.141  1.0000
-2.984  0.9267
-2.827  0.7158
-2.670  0.3934
-2.513 -0.0002
-2.356 -0.4144
-2.199 -0.7937
-2.042 -1.0836
-1.885 -1.2361
-1.728 -1.2149
-1.571 -0.9999
-1.414 -0.5891
-1.257  0.0002
-1.100  0.7326
-0.942  1.5577
-0.785  2.4143
-0.628  3.2362
-0.471  3.9576
-0.314  4.5202
-0.157  4.8775
 0.000  5.0000
 0.157  4.8775
 0.314  4.5202
 0.471  3.9576
 0.628  3.2362
 0.785  2.4143
 0.942  1.5577
 1.100  0.7326
 1.257  0.0002
 1.414 -0.5891
 1.571 -0.9999
 1.728 -1.2149
 1.885 -1.2361
 2.042 -1.0836
 2.199 -0.7937
 2.356 -0.4144
 2.513 -0.0002
 2.670  0.3934
 2.827  0.7158
 2.984  0.9267
 3.141  1.0000
 3.299  0.9268
 3.456  0.7161
 3.613  0.3938
 3.770  0.0003
 3.927 -0.4139
 4.084 -0.7933
 4.241 -1.0834
 4.398 -1.2360
 4.555 -1.2151
 4.712 -1.0003
 4.869 -0.5897
 5.026 -0.0006
 5.183  0.7316
 5.341  1.5567
 5.498  2.4133
 5.655  3.2352
 5.812  3.9569
 5.969  4.5196
 6.126  4.8772
 6.283  5.0000
 6.440  4.8778
 6.597  4.5207
 6.754  3.9584
 6.911  3.2371
