  1   2.196   2.196
  2   2.220   2.220
  3   2.298   2.298
  4   2.440   2.440
  5   2.667   2.667
  6   3.025   3.025
  7   3.611   3.611
  8   4.669   4.669
  9   7.049   7.049
 10  17.232  17.232
 11  22.978  22.978
 12   5.432   5.432
 13   2.371   2.371
 14   4.224   4.224
 15  42.270  42.270
 16   6.420   6.420
 17   4.039   4.039
 18   3.131   3.131
 19   2.654   2.654
 20   2.374   2.374
 21   2.207   2.207
 22   2.119   2.119
 23   2.095   2.095
 24   2.132   2.132
 25   2.238   2.238
 26   2.436   2.436
 27   2.778   2.778
 28   3.391   3.391
 29   4.676   4.676
 30   8.858   8.858
 31  48.371  48.371
 32   4.358   4.358
 33   2.065   2.065
 34   4.360   4.360
 35  48.370  48.370
 36   8.861   8.861
 37   4.677   4.677
 38   3.392   3.392
 39   2.779   2.779
 40   2.437   2.437
 41   2.239   2.239
 42   2.133   2.133
 43   2.096   2.096
 44   2.120   2.120
 45   2.208   2.208
 46   2.374   2.374
 47   2.655   2.655
 48   3.131   3.131
 49   4.040   4.040
 50   6.422   6.422
 51  42.269  42.269
 52   4.227   4.227
 53   2.371   2.371
 54   5.432   5.432
 55  22.976  22.976
 56  17.234  17.234
 57   7.049   7.049
 58   4.669   4.669
 59   3.611   3.611
 60   3.026   3.026
 61   2.667   2.667
 62   2.440   2.440
 63   2.298   2.298
 64   2.220   2.220
