  0   2.000   2.000
  1   2.003   2.003
  2   2.012   2.012
  3   2.026   2.026
  4   2.048   2.048
  5   2.076   2.076
  6   2.111   2.111
  7   2.155   2.155
  8   2.207   2.207
  9   2.270   2.270
 10   2.345   2.345
 11   2.435   2.435
 12   2.542   2.542
 13   2.670   2.670
 14   2.825   2.825
 15   3.014   3.014
 16   3.249   3.249
 17   3.547   3.547
 18   3.934   3.934
 19   4.458   4.458
 20   5.203   5.203
 21   6.353   6.353
 22   8.386   8.386
 23  13.185  13.185
 24  51.747  51.747
 25   4.471   4.471
 26  39.521  39.521
 27  19.120  19.120
 28   8.961   8.961
 29   5.890   5.890
 30   4.346   4.346
 31   3.402   3.402
 32   2.761   2.761
 33   2.295   2.295
 34   1.939   1.939
 35   1.658   1.658
 36   1.430   1.430
 37   1.240   1.240
 38   1.078   1.078
 39   0.939   0.939
 40   0.817   0.817
 41   0.709   0.709
 42   0.612   0.612
 43   0.523   0.523
 44   0.441   0.441
 45   0.365   0.365
 46   0.293   0.293
 47   0.225   0.225
 48   0.159   0.159
 49   0.095   0.095
 50   0.032   0.032
 51   0.031   0.031
 52   0.094   0.094
 53   0.158   0.158
 54   0.224   0.224
 55   0.293   0.293
 56   0.364   0.364
 57   0.440   0.440
 58   0.522   0.522
 59   0.611   0.611
 60   0.708   0.708
 61   0.817   0.817
 62   0.939   0.939
 63   1.078   1.078
 64   1.239   1.239
 65   1.429   1.429
 66   1.658   1.658
 67   1.938   1.938
 68   2.294   2.294
 69   2.760   2.760
 70   3.401   3.401
 71   4.344   4.344
 72   5.888   5.888
 73   8.958   8.958
 74  19.114  19.114
 75  39.527  39.527
 76   4.467   4.467
 77  51.749  51.749
 78  13.183  13.183
 79   8.384   8.384
 80   6.352   6.352
 81   5.202   5.202
 82   4.457   4.457
 83   3.934   3.934
 84   3.546   3.546
 85   3.249   3.249
 86   3.014   3.014
 87   2.824   2.824
 88   2.670   2.670
 89   2.542   2.542
 90   2.435   2.435
 91   2.345   2.345
 92   2.270   2.270
 93   2.207   2.207
 94   2.155   2.155
 95   2.111   2.111
 96   2.076   2.076
 97   2.048   2.048
 98   2.026   2.026
 99   2.011   2.011
100   2.003   2.003
