    -10.000     -0.050
     -9.875     -0.088
     -9.750     -0.070
     -9.625     -0.076
     -9.500     -0.072
     -9.375     -0.075
     -9.250     -0.068
     -9.125     -0.062
     -9.000     -0.053
     -8.875     -0.045
     -8.750     -0.039
     -8.625     -0.034
     -8.500     -0.028
     -8.375     -0.020
     -8.250     -0.012
     -8.125     -0.008
     -8.000     -0.013
     -7.875     -0.029
     -7.750     -0.053
     -7.625     -0.078
     -7.500     -0.099
     -7.375     -0.107
     -7.250     -0.105
     -7.125     -0.094
     -7.000     -0.080
     -6.875     -0.065
     -6.750     -0.052
     -6.625     -0.041
     -6.500     -0.028
     -6.375     -0.012
     -6.250      0.004
     -6.125      0.020
     -6.000      0.028
     -5.875      0.027
     -5.750      0.015
     -5.625     -0.007
     -5.500     -0.034
     -5.375     -0.063
     -5.250     -0.092
     -5.125     -0.119
     -5.000     -0.144
     -4.875     -0.162
     -4.750     -0.171
     -4.625     -0.169
     -4.500     -0.153
     -4.375     -0.128
     -4.250     -0.099
     -4.125     -0.072
     -4.000     -0.055
     -3.875     -0.046
     -3.750     -0.044
     -3.625     -0.046
     -3.500     -0.046
     -3.375     -0.045
     -3.250     -0.043
     -3.125     -0.046
     -3.000     -0.054
     -2.875     -0.067
     -2.750     -0.084
     -2.625     -0.100
     -2.500     -0.113
     -2.375     -0.120
     -2.250     -0.122
     -2.125     -0.120
     -2.000     -0.116
     -1.875     -0.110
     -1.750     -0.097
     -1.625     -0.079
     -1.500     -0.053
     -1.375     -0.022
     -1.250      0.006
     -1.125      0.024
     -1.000      0.028
     -0.875      0.018
     -0.750      0.002
     -0.625     -0.007
     -0.500      0.005
     -0.375      0.055
     -0.250      0.154
     -0.125      0.315
      0.000      0.543
      0.125      0.832
      0.250      1.160
      0.375      1.475
      0.500      1.712
      0.625      1.801
      0.750      1.698
      0.875      1.399
      1.000      0.938
      1.125      0.384
      1.250     -0.188
      1.375     -0.713
      1.500     -1.148
      1.625     -1.461
      1.750     -1.633
      1.875     -1.648
      2.000     -1.500
      2.125     -1.198
      2.250     -0.779
      2.375     -0.296
      2.500      0.188
      2.625      0.614
      2.750      0.938
      2.875      1.138
      3.000      1.206
      3.125      1.146
      3.250      0.967
      3.375      0.685
      3.500      0.330
      3.625     -0.058
      3.750     -0.429
      3.875     -0.732
      4.000     -0.925
      4.125     -0.982
      4.250     -0.897
      4.375     -0.684
      4.500     -0.378
      4.625     -0.023
      4.750      0.330
      4.875      0.637
      5.000      0.864
